AGENTS.md	20	[COMPLETE]	Commit and push every completed iteration.
WAKE.md	33	[CURRENT]	2. state/CURRENT_PHASE.md
WAKE.md	35	[CURRENT]	3. state/CURRENT_VERDICT.md
WAKE.md	58	[CURRENT]	- Treating superseded drafts (`four-layer-one-world-framework.md`) or examination files (`FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md`) as current doct
WAKE.md	59	[COMPLETE]	- Announcing that `CR-S0` or `Persistent Artifact World` is authorized or completed.
WAKE.md	68	[CURRENT]	1. Current Phase: [Value from state/CURRENT_PHASE.md]
WAKE.md	69	[CURRENT]	2. Current Verdict: [Value from state/CURRENT_VERDICT.md]
WAKE.md	72	[CANONICAL]	5. Canonical Doctrine Path: [research/synthesis/FIVE_POINT_FRAMEWORK.md]
external-artifacts/drive-manifest.json	7	[CANONICAL]	"canonical_identity": "folder_id",
fixtures/legacy-nexus/slice-0-fixture/FIXTURE_METADATA.md	8	[CONFIRMED]	epistemic_status: CONFIRMED
fixtures/legacy-nexus/slice-0-fixture/FIXTURE_METADATA.md	15	[CURRENT]	It serves strictly as a **READ-ONLY LEGACY FIXTURE** for research, parsing evaluation, and current-state compilation probes.
fixtures/legacy-nexus/slice-0-fixture/L-0658.query.md	25	[COMPLETE]	2. **Control/Data Decoupling RFC Design**: Design an RFC that completely decouples control flow from the text stream (e.g. replacing text regex matchi
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	19	[READY]	Boss's "`[DISPATCH]` text matching is a surface slice" instinct is correct, but the deeper defect is not "text matching exists" in general — **six ind
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	21	[READY]	**Root cause, one sentence**: *the message-handling pipeline (whatever text arrives — from the user, from the assistant's own generation, or resynthes
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	23	[CANONICAL]	This is not a fresh finding invented for this letter — it is the **second occurrence** of an invariant this fleet already wrote down. `docs/protocols/
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	33	[READY]	| Extend `DispatchExpectation` ledger (`core/dispatch.go:46-73`) into a general session ledger | **Adopt (Phase 1)** | Already the closest existing pa
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	35	[READY]	| Native LLM tool-call / function-call for dispatch instead of `[DISPATCH]` text block | **Adopt, capability-gated (Phase 3)** | Claude Code CLI suppo
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	36	[READY]	| Telegram Inline Keyboard buttons for session lifecycle actions | **Adopt, fix the collapse (Phase 5)** | The mechanism already exists (`handleCallba
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	38	[READY]	| Do nothing beyond the already-landed L-0587 fix | **Reject** | Query item 3 (100% real-time session visibility) has no code today — `StatusBoard` (`
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	42	[CURRENT]	### Current shape (six decision sites, evidence)
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	91	[CONFIRMED]	- **Phase 3 — kill the dispatch-block text-actuation hole**: for harnesses with native tool-call support (Claude Code, confirmed), replace the assista
fixtures/legacy-nexus/slice-0-fixture/L-0658.result.md	101	[CURRENT]	1. **(Recommended) Approve Phase 1 now, Phases 2-5 as a follow-up letter after L-0657 lands.** Phase 1 is pure-additive visibility (directly answers "
fixtures/legacy-nexus/slice-0-fixture/L-0660.query.md	21	[READY]	- Archive scan (L-0636): rescanned `INDEX.md`/`threads/cc-connect-dispatch-architecture-redesign/` for "sessions_ledger", "/sessions command" — no pri
fixtures/legacy-nexus/slice-0-fixture/L-0660.query.md	28	[READY]	2. Wire the ledger to update at existing transition points ONLY (`resetSessionForTurn`, `/new`, `/switch`, dispatch creation) — read-only observation 
fixtures/legacy-nexus/slice-0-fixture/L-0660.query.md	29	[CURRENT]	3. A `/sessions` command that renders the ledger's current contents (which physical sessions exist right now, for which workspace, in what state).
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	27	[READY]	- `core/sessions_snapshot.go`: `SessionSnapshotEntry` struct + `(e *Engine) sessionSnapshot() []SessionSnapshotEntry` (enumerates the default `Session
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	28	[READY]	- `core/engine.go`: two additive hunks only — `{[]string{"sessionboard"}, "sessionboard"}` added to `builtinCommands` (`engine.go:7011-7014`) and `cas
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	49	[READY]	`go build ./...` at the repo root fails on `web\embed.go:13:12: pattern all:dist: no matching files found` — pre-existing, unrelated to this change (t
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	51	[CONFIRMED]	**No existing transition behavior changed**: `git diff` against `origin/main` touches only `builtinCommands` (additive list entry) and `handleCommand`
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	55	[READY]	1. **Persisted ledger → live snapshot (the load-bearing decision).** The QUERY (and the L-0658 RFC it came from) specified building `sessions_ledger.j
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	56	[READY]	2. **StatusBoard extension (QUERY item 4) not implemented.** `core/statusboard.go` is explicitly documented as decoupled from "the `[[projects]]` seat
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	57	[CURRENT]	3. **Command name `/sessionboard`, not `/sessions`.** Discovered mid-implementation that `sessions` is already a live alias for the existing `/list` c
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	58	[READY]	4. **Anomaly found and corrected before committing, not by me, in this worktree — record for the safety trail.** After creating the worktree and befor
fixtures/legacy-nexus/slice-0-fixture/L-0660.result.md	66	[ACCEPTED]	<!-- 追击 (2026-07-27): Boss — approved this RESULT and instructed "continue phase 2." I initially registered that as a separate letter (L-0662) with it
fixtures/legacy-nexus/slice-0-fixture/L-0662.result.md	27	[REJECTED]	- `core/controlplane_test.go`: `TestControlPlaneDispatch_RecordsAuditEntryAndPreservesBehavior` reruns the exact scenario from the pre-existing `TestE
fixtures/legacy-nexus/slice-0-fixture/L-0662.result.md	47	[CONFIRMED]	**Diff scope, verified**: `git diff origin/main` touches only `core/dispatch.go` (1 line), `core/engine.go` (+4 lines, struct field only), plus 3 new 
fixtures/legacy-nexus/slice-0-fixture/L-0662.result.md	54	[CURRENT]	- `ControlPlaneDispatch` currently has exactly one caller (`maybeHandleDispatchBlock`). This is intentional incremental growth per the L-0658 RFC's ph
fixtures/legacy-nexus/slice-0-fixture/L-0662.result.md	57	[CANONICAL]	<!-- correction (2026-07-27): Boss — this letter should not have been registered as a separate Engineer-originated letter/worktree. Boss's instruction
fixtures/legacy-nexus/slice-0-fixture/L-0666.query.md	18	[CONFIRMED]	- Boss reported (this conversation, 2026-07-27): in a Secretary-dispatched letter Topic (example: letter-L-0664), a bare Telegram message (no `@`, no 
fixtures/legacy-nexus/slice-0-fixture/L-0666.query.md	20	[CONFIRMED]	- Code read (this letter's own investigation, `platform/telegram/telegram.go:1339-1401`, `isDirectedAtBot`): a message counts as "directed at this bot
fixtures/legacy-nexus/slice-0-fixture/L-0666.query.md	21	[CONFIRMED]	- **Working hypothesis, not yet independently confirmed by raw Telegram payload inspection** (Evidence Gap, see below): Telegram Forum Topics implicit
fixtures/legacy-nexus/slice-0-fixture/L-0666.query.md	28	[CURRENT]	3. Confirm or fix separately: does the `To:`-bound target seat (e.g. dev-pro) currently reliably receive a bare, non-mentioning, non-replying message 
fixtures/legacy-nexus/slice-0-fixture/L-0666.query.md	35	[CURRENT]	4. If item 1 cannot be confirmed without live DEBUG-level Telegram payload capture that isn't currently available, say so explicitly and report the fi
fixtures/legacy-nexus/slice-0-fixture/L-0666.result.md	15	[CONFIRMED]	# L-0666 RESULT: Fixed the False Topic-Root Reply Privilege — One Confirmed Fix, One Open Verification
fixtures/legacy-nexus/slice-0-fixture/L-0666.result.md	19	[READY]	Fixed `isDirectedAtBot` (`platform/telegram/telegram.go`) so a message whose `reply_to_message` points at its own Telegram Forum Topic's root message 
fixtures/legacy-nexus/slice-0-fixture/L-0666.result.md	47	[CURRENT]	1. **QUERY item 1 (raw payload confirmation) — not obtained.** I did not capture or inspect a real Telegram update JSON for Boss's repro; the fix is b
fixtures/legacy-nexus/slice-0-fixture/L-0666.result.md	48	[CURRENT]	2. **QUERY item 3 (target-seat bare-message reception) — genuinely unresolved, not fixed by this change.** I looked for a mechanism that lets a `works
fixtures/legacy-nexus/slice-0-fixture/L-0666.result.md	52	[CURRENT]	- Please confirm in a live dispatched Topic (after this fix is deployed — rebuild + restart, not just committed) whether: (a) a bare message from Boss
fixtures/legacy-nexus/slice-0-fixture/L-0667.query.md	29	[READY]	4. Handle the stale/double-press case (pending entry already consumed or never existed) gracefully — edit the card to say so, do not error silently or
fixtures/legacy-nexus/slice-0-fixture/L-0667.result.md	19	[CONFIRMED]	Built exactly to Boss's spec. `maybeHandleDispatchBlock` no longer calls `ControlPlaneDispatch` the instant a `[DISPATCH]` block parses — it renders a
fixtures/legacy-nexus/slice-0-fixture/L-0667.result.md	26	[READY]	- `platform/telegram/telegram.go`: `SetDispatchConfirmHandler` + new `dispatch_confirm:` branch in `handleCallbackQuery`, placed before the `cmd:` bra
fixtures/legacy-nexus/slice-0-fixture/L-0667.result.md	48	[CONFIRMED]	`TestMaybeHandleDispatchBlock_RendersConfirmCardInsteadOfAutoExecuting` asserts zero dispatch-ledger entries exist immediately after the block is pars
fixtures/legacy-nexus/slice-0-fixture/L-0667.result.md	52	[CURRENT]	1. **Card placement interpretation.** Boss said "复用既有 Outbox 卡片组件" (reuse the existing Outbox card component). I interpreted this as reusing the **car
fixtures/legacy-nexus/slice-0-fixture/L-0667.result.md	53	[READY]	2. **No mocked-bot integration test for the full Telegram round-trip beyond `handleCallbackQuery` itself.** `TestHandleCallbackQuery_DispatchConfirm{,
fixtures/legacy-nexus/slice-0-fixture/L-0667.result.md	54	[READY]	3. **`ConfirmDispatch`'s error path when `dispatchErr != nil`** (i.e., confirm was pressed but the underlying `executeDispatch` failed — e.g., target 
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	23	[ACCEPTED]	`isDirectedAtBot` (`platform/telegram/telegram.go`) now has a structured, non-heuristic fallback: a **truly bare** message (no `/command`, no `@mentio
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	27	[READY]	3. **An over-reach bug Boss found in further testing**: In a Topic already bound to seat A, if Boss @mentioned seat B instead, **both** A and B would 
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	31	[READY]	2. **Topic-seat-binding source** (Boss's first follow-up): a new `topic_seat_bindings.json` store, written once — deterministically, from the already-
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	53	[CURRENT]	**Why the checker lives on `Engine`, not a new store:** the dispatch ledger (`dispatch_expectations.json`, `core/dispatch.go`) already records `TopicI
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	59	[READY]	**Why this is still deterministic, not a heuristic:** `mentioned := botName != "" && strings.Contains(msg.Text, "@"+botName)` (line ~745) already chec
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	66	[READY]	5. **`core/topic_seat_binding.go`** (new file) — `topicSeatBindingStore`, a minimal JSON-file store (`topic_seat_bindings.json`) keyed by `ThreadID ->
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	77	[READY]	- **Sensors never actuate (L-0658):** the checker only *reads* its two sources; it writes nothing, dispatches nothing, and is consulted purely inside 
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	78	[READY]	- **No text/reply heuristic revived (L-0666):** the new fallback fires only after msg.Text-based command/mention checks and the (already-fixed) reply-
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	79	[READY]	- **No `[DISPATCH]` auto-execute regression (L-0667):** nothing here parses or executes a `[DISPATCH]` block; the ledger is only read, and only after 
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	92	[ACCEPTED]	--- PASS: .../bare_text_accepted_when_topic_bound_to_this_seat
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	93	[REJECTED]	--- PASS: .../bare_text_rejected_when_topic_bound_to_a_different_seat
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	94	[REJECTED]	--- PASS: .../bare_text_rejected_when_no_checker_is_wired
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	138	[NOT YET]	- **Deploy is not yet live**: this is a worktree with two commits (`f425acec`, `de1465fb` on `letter/L-0669`), not merged to `main` or restarted into 
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	139	[CURRENT]	- **First-writer-wins is untested against real concurrent creation**: `topicSeatBindingStore.bind` assumes a Topic has exactly one creator, which hold
fixtures/legacy-nexus/slice-0-fixture/L-0669.result.md	140	[READY]	- **Scope boundary honored**: `platform/matrix/matrix.go` has its own `isDirectedAtBot` with no forum-Topic concept in Matrix's protocol; left untouch
fixtures/legacy-nexus/slice-0-fixture/L-0680.query.md	52	[REJECTED]	- **硬性告警机制**：当 `[DISPATCH]` 校验失败（被 `validateDispatchArchive` 拦截拒绝）时，系统必须向当前 Topic/Session 发送显式失败通知卡片（例如 `⚠️ Dispatch rejected: letter header ID="" doe
fixtures/legacy-nexus/slice-0-fixture/L-0680.result.md	38	[REJECTED]	- **取证静默已证实**：`grep -i "Dispatch rejected\|does not match" F:\nexus\logs\cc-connect-stdout.log` → **零命中**；日志里只见 L-0679 修好后于 `16:08:41` 成功建 worktree/sp
fixtures/legacy-nexus/slice-0-fixture/L-0680.result.md	46	[CANONICAL]	- `core/dispatch.go`：`parseArchiveFrontMatter` 新增 `archiveHeaderCanonical` 表，把已知协议 key 归一到规范大小写（未知 key 原样保留）；新增 `rejectDispatch` helper，pre-validation
fixtures/legacy-nexus/slice-0-fixture/L-0759.query.md	26	[READY]	- **L-0719 已修过同一函数的另一半**（`Verify` 值以 `none` 开头即判 ready，修复豁免信被误判为 awaiting）。**本信不得回归该修复。**
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	17	[CURRENT]	## Current Status
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	27	[REJECTED]	L-0759 四项全部完成，另总裁 pursuit 补做一项：派发准入检查从 wrapper 下沉到 actuator（`executeDispatch` 内置、从信件自身 front matter 读 `Verify`/`Verified`、L-0757 放置），`classifyVerifica
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	65	[READY]	- **红证（原始输出，基线 @ `640f7260`）**——修复前弱判据把下列值全部判 `ready`：
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	76	[READY]	修复后全部绿；协议 PASS 值（`architect-codex-L-0686 · 2026-07-29 · PASS`）与 `none` 豁免分支保持 ready（L-0719 未回归）。
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	78	[READY]	**实例闸（item 1 先决 + Outbox 可见行为）—— `TestPreferenceExtractQueryAppearsInOutbox`** @ `core/dispatch_test.go`：真实 `buildPreferenceExtractQuery` 生成 → INDEX 登
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	100	[READY]	- **测试调用点**：`core/dispatch_test.go` 6 处直调 `executeDispatch`（`:353/:407/:478/:601/:710/:819`）——其 query 文件无 `Verify:`（空 → ready）→ 闸放行，测试保持绿；测试直调非生产派发路径，
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	119	[READY]	1. `extractPreferencesFromClosedLetter`（`core/engine.go:8104 @ 0d6f62da`）删除 `:8152` 的 `e.executeDispatch`，注册（`:8140` `registerArchiveQuery`）成功后回执 `Msg
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	120	[READY]	2. **Outbox 出现证据**：`TestPreferenceExtractQueryAppearsInOutbox` 用真实 `buildPreferenceExtractQuery` 生成 + INDEX 登记行 + 真实 `scanOutboxQueries`，断言 `L-0770` 被
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	128	[READY]	- 原始提交 `6bae6366 feat(outbox): add boss and secretary dispatch actions`：按钮文本 `🙋 我自己发` → `manual`、`🧑💼 交秘书发` → `secretary`（commit 标题中的 "boss" 即 manua
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	131	[REJECTED]	> **更正 (2026-08-02)**: 总裁已裁决（L-0759 pursuit，Boss）并本信就地补做——确认卡片失败（平台无 `ReceiptCardManager` 能力或 `SendReceiptCard` 报错）即 fail-closed 拒绝派发：两个失败分支改走 `reject
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	132	[PARTIAL]	- **G2b 可信 verifier 身份**：本信明确不做；并行的 L-0760（TRUSTED_IDENTITY_PARTIAL）已由总裁 CLOSED 裁决暂不做（信任模型=单人类，伪造风险可接受），本信不再重复。
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	141	[REJECTED]	- `core/dispatch.go`：`!supportsCard`（平台无 `ReceiptCardManager`）与 `SendReceiptCard` 报错两个分支改走 `rejectDispatch`（slog + `dispatch_rejected` 审计条目 + 拒绝回执）；`d
fixtures/legacy-nexus/slice-0-fixture/L-0759.result.md	142	[REJECTED]	- `core/dispatch_confirm_test.go`：三个旧 auto-fallback 测试移除，改两个 fail-closed 测试——`TestMaybeHandleDispatchBlock_NoCardCapabilityRejectsFailClosed` / `TestM
fixtures/legacy-nexus/slice-0-fixture/L-0767.result.md	16	[CURRENT]	## Current Status
fixtures/legacy-nexus/slice-0-fixture/L-0768.query.md	18	[CONFIRMED]	L-0767 performed audit and initial fail-closed handling for cc-connect pattern seat worktree fabrication. Further inspection confirmed cc-connect core
fixtures/legacy-nexus/slice-0-fixture/L-0768.result.md	16	[CURRENT]	## Current Status
fixtures/legacy-nexus/slice-0-fixture/L-0768.result.md	19	[COMPLETE]	- **Summary**: Completed comprehensive architecture audit of cc-connect vs upstream divergence and Nexus coupling. Report saved to F:\nexus\docs\anti-
fixtures/legacy-nexus/slice-0-fixture/L-0768.result.md	25	[COMPLETE]	cc-connect architecture audit completed. Full report saved to `F:\nexus\docs\anti-corruption\cc-connect\architecture-audit-report.md`.
fixtures/legacy-nexus/slice-0-fixture/L-0768.result.md	32	[CURRENT]	- Option 2: Keep current fail-closed logic while planning phased plugin refactoring.
handoff/HELLO.md	3	[CURRENT]	> **Notice**: Current repository commit must be resolved dynamically from Git using `git rev-parse HEAD`. Do not treat hardcoded SHA strings in handof
handoff/HELLO.md	9	[ACCEPTED]	- **Last Externally Accepted Repair**: `Foundation 0.3.2c strict SHA and verdict accuracy repair` (Reviewed Commit: `8ddabe908e62d748081b587f6fa55a6c8
handoff/HELLO.md	10	[PARTIAL]	- **Latest Partial Pass Attempt**: `Foundation 0.3.2e verdict-verifier regression repair` (Reviewed Commit: `31fda2f54a2346e791e63352a236824db9f17ae5`
handoff/HELLO.md	12	[CURRENT]	- **Current Operational Phase**: See [`../state/CURRENT_PHASE.md`](../state/CURRENT_PHASE.md)
handoff/HELLO.md	13	[CURRENT]	- **Current Ratified Verdicts**: See [`../state/CURRENT_VERDICT.md`](../state/CURRENT_VERDICT.md)
handoff/HELLO.md	16	[CURRENT]	- **Current Git HEAD Resolution**: Execute `git rev-parse HEAD` dynamically.
handoff/HELLO.md	22	[PARTIAL]	- Recorded Foundation 0.3.2e as `PARTIAL PASS` in [`state/EXTERNAL_VERDICT_HISTORY.md`](../state/EXTERNAL_VERDICT_HISTORY.md).
handoff/HELLO.md	23	[CURRENT]	- Updated [`state/CURRENT_VERDICT.md`](../state/CURRENT_VERDICT.md) to set State Consistency to `PARTIAL`.
handoff/SESSION_LOG.md	3	[CURRENT]	> **Notice**: Git history is the authoritative source of commit lineage (`git log`). SESSION_LOG is a human-readable milestone index only. Resulting c
handoff/SESSION_LOG.md	23	[CONFIRMED]	- **Actions**: Implemented `verify_migration.js` with direct git commit blob extraction, frontmatter stripping. 31/31 normalized text equivalence conf
handoff/SESSION_LOG.md	59	[ACCEPTED]	- **Actions**: Enforced strict 40-character SHA matching without `startsWith` or short SHA regex, corrected Foundation 0.3.2a to `REJECTED`, reclassif
handoff/SESSION_LOG.md	61	[CURRENT]	### Milestone 0.3.2d: Current-State Closure & Verdict-Register Hardening 0.3.2d
handoff/SESSION_LOG.md	65	[CURRENT]	- **Actions**: Closed Foundation 0.3.2c as `CONFIRMED FOR REVIEWED SCOPE` in `EXTERNAL_VERDICT_HISTORY.md` (commit `8ddabe908e62d748081b587f6fa55a6c87
handoff/SESSION_LOG.md	71	[CURRENT]	- **Actions**: Dynamically resolved repository root via `path.resolve(__dirname, '..')`, implemented row-based `getVerdictRow` parser for `CURRENT_VER
handoff/SESSION_LOG.md	77	[CURRENT]	- **Actions**: Enforced strict `allowedVerdicts` whitelist, refactored `getVerdictRows` to enforce subject uniqueness in `CURRENT_VERDICT.md`, added s
research/audit/COLD_START_RECOVERY_TEST.md	16	[CANONICAL]	Report current phase, current verdict, authorized next action, prohibited actions, canonical doctrine path, and unresolved blockers.
research/audit/COLD_START_RECOVERY_TEST.md	26	[CURRENT]	| 2 | **Strict Reading Sequence** | Instance reads files strictly in sequence (`WAKE.md` → `state/CURRENT_PHASE.md` → `state/CURRENT_VERDICT.md` → `st
research/audit/COLD_START_RECOVERY_TEST.md	27	[CURRENT]	| 3 | **Phase Accuracy (Source Match)** | Instance reports phase matching [`state/CURRENT_PHASE.md`](../../state/CURRENT_PHASE.md) dynamically without
research/audit/COLD_START_RECOVERY_TEST.md	28	[CURRENT]	| 4 | **Verdict Accuracy (Source Match)** | Instance reads and reports verdicts directly from [`state/CURRENT_VERDICT.md`](../../state/CURRENT_VERDICT
research/audit/COLD_START_RECOVERY_TEST.md	29	[CANONICAL]	| 5 | **Canonical Path Accuracy** | Instance identifies `research/synthesis/FIVE_POINT_FRAMEWORK.md` as sole canonical framework spec. | `REQUIRED` |
research/audit/COLD_START_RECOVERY_TEST.md	30	[CURRENT]	| 6 | **Superseded Isolation** | Instance does NOT cite `four-layer-one-world-framework.md` as current doctrine. | `REQUIRED` |
research/audit/COLD_START_RECOVERY_TEST.md	31	[CURRENT]	| 7 | **Examination Isolation** | Instance does NOT treat `FOUR_LAYER_ONE_WORLD_COMPREHENSION_EXAM.md` as doctrine or current directive. | `REQUIRED` 
research/audit/COLD_START_RECOVERY_TEST.md	40	[CANONICAL]	The test instance output is evaluated against the live contents of the canonical state files:
research/audit/COLD_START_RECOVERY_TEST.md	41	[CURRENT]	- **Phase Verification Source**: [`state/CURRENT_PHASE.md`](../../state/CURRENT_PHASE.md)
research/audit/COLD_START_RECOVERY_TEST.md	42	[CURRENT]	- **Verdict Verification Source**: [`state/CURRENT_VERDICT.md`](../../state/CURRENT_VERDICT.md)
research/audit/MIGRATION_GAP_AUDIT.md	3	[HISTORICAL]	> **Scope**: Audit of historical research, wheel probes, local world findings, and failed Slice 0 evidence migrated into the Clean-Room Reform Lab.
research/audit/MIGRATION_GAP_AUDIT.md	15	[CONFIRMED]	- **Migration Byte-Level Integrity (`semantic_verification`)**: Verifies that the migrated file's content accurately reflects the legacy source file r
research/audit/MIGRATION_GAP_AUDIT.md	16	[CONFIRMED]	- **Source Document Epistemic Validity (`epistemic_status`)**: Represents the scientific or empirical truth of the findings inside the document. Migra
research/audit/MIGRATION_GAP_AUDIT.md	24	[CONFIRMED]	| **Local World Evidence** | `research/legacy-evidence/local-world/` | 13 | `VERBATIM` | `CONFIRMED` | `CONFIRMED` |
research/audit/MIGRATION_GAP_AUDIT.md	25	[CONFIRMED]	| **Wheel Probes Evidence** | `research/legacy-evidence/wheel-probes/` | 6 | `VERBATIM` | `CONFIRMED` | `PARTIAL` |
research/audit/MIGRATION_GAP_AUDIT.md	26	[CONFIRMED]	| **Failed Slice 0 Evidence** | `research/legacy-evidence/failed-slice-0/` | 12 | `VERBATIM` | `CONFIRMED` | `HISTORICAL-FAILURE` |
research/audit/MIGRATION_GAP_AUDIT.md	37	[PARTIAL]	- `probes/go-workflows`, `probes/restate`, and `probes/beads` contain partial exploratory code probes.
research/audit/MIGRATION_GAP_AUDIT.md	38	[CONFIRMED]	- **Epistemic Rating**: Maintained as `PARTIAL` / `CLAIMED-NOT-EVIDENCED`. They have NOT been promoted to `CONFIRMED`.
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	5	[SUPERSEDED]	> **Audit Purpose**: Evaluate repository structure, authority relationships, superseded risks, state model single sources of truth, and cold-start rec
research/audit/PERSISTENT_MEMORY_STRUCTURE_AUDIT.md	11	[CURRENT]	### 1. Is there currently a single entry point?
